Obs,ItemKey,ItemName,ItemHdr,XpressfeedMnemonic,ItemNameType,ItemType,ItemDesc,ItemLongDesc,DefaultKeyset,DefaultKeysetTag,FileDimKey,FileTag,ItemSeqNum,CalendarType,CalendarFreq,SASDataType,SASFieldSize,SASFormat,ItemHasDataFlg,ItemDensityFlg,ItemActiveFlg
87,87,AIRASMQ_FN,AIRASMQ_FN,AIRASMQ_FN,AM,FN,Available Seat Miles (ASMs) FN,AIRASMQ_FN: Available Seat Miles (ASMs) Footnote (Refer to your Compustat documentation for item definitions),1,STD,65,OTH_QTR,13,F,QUARTERLY,2,4,$4.,Y,Y,Y
88,88,AIRASMY,AIRASMY,AIRASMY,AM,IT,Available Seat Miles (ASMs),AIRASMY: Available Seat Miles (ASMs) (Refer to your Compustat documentation for item definitions),1,STD,66,OTH_YTD,11,F,YTD,1,8,14.4,Y,Y,Y
89,89,AIRASMY_DC,AIRASMY_DC,AIRASMY_DC,AM,DC,Available Seat Miles (ASMs) DC,AIRASMY_DC: Available Seat Miles (ASMs) Data Code (Refer to your Compustat documentation for item definitions),1,STD,66,OTH_YTD,12,F,YTD,2,1,$1.,Y,Y,N
90,90,AIRASMY_FN,AIRASMY_FN,AIRASMY_FN,AM,FN,Available Seat Miles (ASMs) FN,AIRASMY_FN: Available Seat Miles (ASMs) Footnote (Refer to your Compustat documentation for item definitions),1,STD,66,OTH_YTD,13,F,YTD,2,4,$4.,Y,Y,N
91,91,AIRASM_FN,AIRASM_FN,AIRASM_FN,AM,FN,Available Seat Miles (ASMs) FN,AIRASM_FN: Available Seat Miles (ASMs) Footnote (Refer to your Compustat documentation for item definitions),1,STD,64,OTH_ANN,11,F,ANNUAL,2,4,$4.,Y,Y,N
92,92,AIRAVAGE,AIRAVAGE,AIRAVAGE,AM,IT,Avg Age of Aircraft (Years),AIRAVAGE: Avg Age of Aircraft (Years) (Refer to your Compustat documentation for item definitions),1,STD,64,OTH_ANN,12,F,ANNUAL,1,8,14.4,Y,Y,Y
93,93,AIRBELF,AIRBELF,AIRBELF,AM,IT,Break-even Load Factor,AIRBELF: Break-even Load Factor (Refer to your Compustat documentation for item definitions),1,STD,64,OTH_ANN,13,F,ANNUAL,1,8,14.4,Y,Y,N
94,94,AIRFCG,AIRFCG,AIRFCG,AM,IT,Fuel Consumed (Gallons),AIRFCG: Fuel Consumed (Gallons) (Refer to your Compustat documentation for item definitions),1,STD,64,OTH_ANN,14,F,ANNUAL,1,8,14.4,Y,Y,N
95,95,AIRFCGQ,AIRFCGQ,AIRFCGQ,AM,IT,Fuel Consumed (Gallons),AIRFCGQ: Fuel Consumed (Gallons) (Refer to your Compustat documentation for item definitions),1,STD,65,OTH_QTR,14,F,QUARTERLY,1,8,14.4,Y,Y,Y
96,96,AIRFCGQ_DC,AIRFCGQ_DC,AIRFCGQ_DC,AM,DC,Fuel Consumed (Gallons) DC,AIRFCGQ_DC: Fuel Consumed (Gallons) Data Code (Refer to your Compustat documentation for item definitions),1,STD,65,OTH_QTR,15,F,QUARTERLY,2,1,$1.,Y,Y,N
97,97,AIRFCGY,AIRFCGY,AIRFCGY,AM,IT,Fuel Consumed (Gallons),AIRFCGY: Fuel Consumed (Gallons) (Refer to your Compustat documentation for item definitions),1,STD,66,OTH_YTD,14,F,YTD,1,8,14.4,Y,Y,Y
98,98,AIRFCGY_DC,AIRFCGY_DC,AIRFCGY_DC,AM,DC,Fuel Consumed (Gallons) DC,AIRFCGY_DC: Fuel Consumed (Gallons) Data Code (Refer to your Compustat documentation for item definitions),1,STD,66,OTH_YTD,15,F,YTD,2,1,$1.,Y,Y,N
99,99,AIRFLT,AIRFLT,AIRFLT,AM,IT,Total Aircraft in Service,AIRFLT: Total Aircraft in Service (Refer to your Compustat documentation for item definitions),1,STD,64,OTH_ANN,15,F,ANNUAL,1,8,14.4,Y,Y,Y
100,100,AIRFLTQ,AIRFLTQ,AIRFLTQ,AM,IT,Total Aircraft in Service,AIRFLTQ: Total Aircraft in Service (Refer to your Compustat documentation for item definitions),1,STD,65,OTH_QTR,16,F,QUARTERLY,1,8,14.4,Y,Y,Y
101,101,AIRFLTY,AIRFLTY,AIRFLTY,AM,IT,Total Aircraft in Service,AIRFLTY: Total Aircraft in Service (Refer to your Compustat documentation for item definitions),1,STD,66,OTH_YTD,16,F,YTD,1,8,14.4,Y,Y,Y
